客户ID,年龄,性别,购买商品,商品类别,消费金额(美元),所在州,尺码,颜色,季节,评分,是否订阅,配送方式,是否使用折扣,是否使用优惠码,历史购买次数,支付方式,购买频率
668,34,男,太阳镜,配饰,76,Arizona,S,蓝色,冬,2.6,是,标准快递,是,Yes,32,银行转账,每季
669,49,男,T恤,服装,85,Hawaii,S,绿松石色,秋,2.9,是,快递,是,Yes,35,银行转账,每月
670,43,男,夹克,外套,89,Illinois,M,灰色,春,3.3,是,包邮,是,Yes,45,Venmo,双周
671,63,男,毛衣,服装,41,Louisiana,XL,紫色,春,4.8,是,次日达,是,Yes,37,现金,双周
672,38,男,夹克,外套,30,Iowa,L,黑色,冬,4.7,是,快递,是,Yes,45,现金,每周
673,59,男,袜子,服装,53,Washington,M,桃色,冬,3.3,是,两日达,是,Yes,29,现金,每季
674,35,男,衬衫,服装,66,Oklahoma,M,靛蓝色,春,4.2,是,包邮,是,Yes,27,Venmo,双周
675,48,男,首饰,配饰,33,Washington,XL,米色,冬,4.7,是,门店自提,是,Yes,36,银行转账,每年
676,64,男,太阳镜,配饰,86,Arkansas,M,黄色,春,2.6,是,两日达,是,Yes,9,现金,每年
677,28,男,长裤,服装,60,Connecticut,M,桃色,冬,2.9,是,两日达,是,Yes,38,Venmo,双周
678,60,男,袜子,服装,62,Washington,S,绿松石色,夏,2.7,是,快递,是,Yes,41,PayPal,每年
679,27,男,女式衬衫,服装,74,Maine,M,青绿色,秋,3.3,是,门店自提,是,Yes,25,借记卡,每三个月
680,56,男,凉鞋,鞋履,95,Michigan,M,绿松石色,秋,3.4,是,快递,是,Yes,37,Venmo,每两周
681,58,男,运动鞋,鞋履,25,Tennessee,M,品红色,春,4.2,是,快递,是,Yes,3,PayPal,每年
682,30,男,衬衫,服装,59,Louisiana,XL,紫色,冬,3.8,是,两日达,是,Yes,24,信用卡,每三个月
683,23,男,夹克,外套,29,Missouri,M,棕色,夏,4.0,是,标准快递,是,Yes,49,信用卡,双周
684,33,男,凉鞋,鞋履,36,Michigan,S,紫罗兰色,冬,2.7,是,包邮,是,Yes,3,银行转账,每月
685,63,男,帽子,配饰,82,Alabama,M,黄色,夏,4.7,是,快递,是,Yes,42,借记卡,每月
686,70,男,女式衬衫,服装,71,Massachusetts,XL,品红色,冬,3.5,是,标准快递,是,Yes,32,现金,每两周
687,70,男,毛衣,服装,35,Indiana,L,米色,秋,3.0,是,两日达,是,Yes,33,Venmo,每两周
688,19,男,手套,配饰,38,West Virginia,XL,绿松石色,冬,3.3,是,包邮,是,Yes,46,银行转账,每季
689,25,男,围巾,配饰,59,Michigan,S,桃色,夏,4.7,是,门店自提,是,Yes,44,Venmo,每月
690,19,男,卫衣,服装,91,Pennsylvania,M,橙色,夏,4.7,是,快递,是,Yes,35,信用卡,每三个月
691,25,男,短裤,服装,68,Alaska,XL,红色,春,4.8,是,标准快递,是,Yes,45,银行转账,每周
692,60,男,双肩包,配饰,21,Massachusetts,L,银色,夏,2.9,是,标准快递,是,Yes,37,PayPal,双周
693,35,男,太阳镜,配饰,95,North Dakota,M,青色,春,4.0,是,两日达,是,Yes,40,借记卡,每三个月
694,46,男,短裤,服装,52,Vermont,L,绿松石色,春,3.1,是,包邮,是,Yes,30,现金,每三个月
695,41,男,连衣裙,服装,21,Kentucky,S,炭灰色,秋,3.5,是,两日达,是,Yes,38,Venmo,每三个月
696,30,男,短裤,服装,67,Nevada,XL,桃色,夏,3.7,是,次日达,是,Yes,15,借记卡,每三个月
697,44,男,腰带,配饰,42,Utah,L,绿色,秋,2.8,是,标准快递,是,Yes,49,现金,每月
698,61,男,围巾,配饰,63,North Dakota,XL,棕色,夏,4.6,是,包邮,是,Yes,40,借记卡,每季
699,55,男,靴子,鞋履,41,Iowa,M,黄色,冬,3.8,是,标准快递,是,Yes,40,借记卡,每周
700,50,男,手提包,配饰,46,Connecticut,M,炭灰色,秋,2.6,是,两日达,是,Yes,5,PayPal,每周
701,57,男,长裤,服装,79,Wisconsin,L,橄榄绿,冬,4.1,是,标准快递,是,Yes,5,PayPal,每月
702,51,男,靴子,鞋履,90,Idaho,L,红色,秋,3.3,是,次日达,是,Yes,5,借记卡,每三个月
703,18,男,衬衫,服装,71,Montana,M,白色,冬,3.4,是,门店自提,是,Yes,1,现金,每周
704,63,男,连衣裙,服装,87,Connecticut,L,粉色,夏,3.0,是,标准快递,是,Yes,21,Venmo,每周
705,34,男,卫衣,服装,66,Idaho,S,黑色,春,3.2,是,快递,是,Yes,18,PayPal,每年
706,25,男,长裤,服装,90,Arkansas,XL,靛蓝色,夏,4.5,是,包邮,是,Yes,49,现金,每季
707,46,男,牛仔裤,服装,47,Iowa,L,绿松石色,夏,4.8,是,快递,是,Yes,27,借记卡,每周
708,59,男,衬衫,服装,38,Louisiana,L,紫色,春,3.7,是,次日达,是,Yes,21,Venmo,每年
709,37,男,双肩包,配饰,50,Kentucky,L,米色,夏,3.4,是,门店自提,是,Yes,19,现金,每两周
710,49,男,夹克,外套,79,Massachusetts,L,炭灰色,夏,4.6,是,标准快递,是,Yes,23,借记卡,每月
711,22,男,围巾,配饰,91,Virginia,L,绿松石色,春,4.1,是,标准快递,是,Yes,26,PayPal,每两周
712,64,男,靴子,鞋履,60,New Hampshire,M,栗色,春,3.5,是,两日达,是,Yes,13,银行转账,双周
713,42,男,女式衬衫,服装,81,New Hampshire,XL,黑色,夏,3.8,是,次日达,是,Yes,36,银行转账,每季
714,37,男,卫衣,服装,90,Oregon,M,薰衣草紫,夏,2.6,是,快递,是,Yes,39,银行转账,双周
715,26,男,夹克,外套,70,South Dakota,M,品红色,秋,4.4,是,门店自提,是,Yes,40,借记卡,每两周
716,33,男,牛仔裤,服装,63,Delaware,L,绿色,春,2.6,是,快递,是,Yes,37,借记卡,每季
717,30,男,首饰,配饰,29,Missouri,M,橄榄绿,春,3.6,是,快递,是,Yes,9,Venmo,双周
718,21,男,袜子,服装,90,Alaska,L,绿色,春,4.2,是,快递,是,Yes,7,Venmo,每三个月
719,22,男,衬衫,服装,22,Florida,M,桃色,夏,4.6,是,标准快递,是,Yes,25,银行转账,每年
720,63,男,短裤,服装,22,Mississippi,L,绿松石色,夏,3.3,是,次日达,是,Yes,42,Venmo,双周
721,33,男,首饰,配饰,62,New Mexico,L,橙色,秋,3.4,是,包邮,是,Yes,19,借记卡,每周
722,43,男,女式衬衫,服装,57,California,L,银色,夏,4.4,是,次日达,是,Yes,41,借记卡,每三个月
723,27,男,毛衣,服装,32,Wyoming,S,蓝色,夏,4.3,是,门店自提,是,Yes,50,现金,双周
724,35,男,首饰,配饰,53,Missouri,L,青色,秋,3.5,是,快递,是,Yes,43,PayPal,每月
725,37,男,T恤,服装,79,New Hampshire,XL,绿色,秋,4.7,是,门店自提,是,Yes,36,Venmo,每三个月
726,61,男,帽子,配饰,61,Texas,L,银色,冬,3.1,是,标准快递,是,Yes,33,借记卡,每两周
727,32,男,短裤,服装,78,North Dakota,L,黄色,夏,3.6,是,次日达,是,Yes,20,银行转账,每三个月
728,62,男,毛衣,服装,97,Arkansas,S,灰色,冬,4.8,是,次日达,是,Yes,37,Venmo,每三个月
729,29,男,牛仔裤,服装,78,Nebraska,M,粉色,冬,3.7,是,次日达,是,Yes,12,PayPal,每三个月
730,41,男,太阳镜,配饰,56,Minnesota,L,米色,夏,3.2,是,快递,是,Yes,46,PayPal,每三个月
731,48,男,靴子,鞋履,25,Massachusetts,M,靛蓝色,夏,3.9,是,标准快递,是,Yes,28,Venmo,每两周
732,43,男,大衣,外套,28,Arkansas,M,红色,春,3.5,是,包邮,是,Yes,30,PayPal,每两周
733,34,男,衬衫,服装,57,New Hampshire,L,蓝色,春,2.8,是,快递,是,Yes,28,现金,双周
734,45,男,连衣裙,服装,36,Rhode Island,L,青色,秋,2.7,是,两日达,是,Yes,20,借记卡,双周
735,65,男,衬衫,服装,69,New Jersey,S,紫罗兰色,冬,3.1,是,快递,是,Yes,39,银行转账,每三个月
736,61,男,太阳镜,配饰,48,Montana,M,橙色,秋,3.6,是,两日达,是,Yes,48,现金,双周
737,18,男,连衣裙,服装,58,Colorado,L,栗色,春,2.9,是,两日达,是,Yes,32,信用卡,每三个月
738,47,男,太阳镜,配饰,24,Nebraska,M,青绿色,春,3.6,是,门店自提,是,Yes,28,PayPal,每年
739,56,男,太阳镜,配饰,31,Minnesota,L,橙色,冬,3.5,是,两日达,是,Yes,27,Venmo,每季
740,64,男,短裤,服装,29,Minnesota,S,紫色,夏,3.5,是,包邮,是,Yes,26,Venmo,双周
741,26,男,牛仔裤,服装,69,South Dakota,M,橙色,夏,2.8,是,次日达,是,Yes,22,信用卡,每两周
742,22,男,T恤,服装,79,West Virginia,XL,黄色,夏,4.7,是,包邮,是,Yes,23,银行转账,每三个月
743,64,男,长裤,服装,39,Nevada,M,炭灰色,夏,3.1,是,快递,是,Yes,21,借记卡,每季
744,21,男,太阳镜,配饰,84,North Carolina,L,灰色,秋,4.9,是,包邮,是,Yes,36,现金,每周
745,67,男,靴子,鞋履,66,Illinois,S,炭灰色,春,4.1,是,次日达,是,Yes,42,借记卡,双周
746,46,男,T恤,服装,92,Michigan,L,橙色,秋,4.7,是,标准快递,是,Yes,4,Venmo,每月
747,40,男,凉鞋,鞋履,45,Michigan,M,红色,冬,2.5,是,包邮,是,Yes,47,信用卡,每年
748,51,男,短裤,服装,74,Oklahoma,L,金色,春,4.4,是,次日达,是,Yes,13,银行转账,每周
749,35,男,帽子,配饰,39,South Dakota,L,棕色,秋,3.9,是,包邮,是,Yes,8,银行转账,每季
750,56,男,围巾,配饰,71,Oklahoma,M,橄榄绿,冬,3.7,是,标准快递,是,Yes,11,借记卡,每季
751,25,男,T恤,服装,95,Maryland,L,紫罗兰色,秋,3.4,是,包邮,是,Yes,5,Venmo,每年
752,65,男,手套,配饰,72,Ohio,L,靛蓝色,秋,4.8,是,包邮,是,Yes,1,信用卡,每月
753,39,男,围巾,配饰,85,Ohio,L,黄色,秋,4.2,是,两日达,是,Yes,17,PayPal,每三个月
754,47,男,靴子,鞋履,54,Massachusetts,M,青绿色,秋,3.4,是,门店自提,是,Yes,27,Venmo,每季
755,36,男,手套,配饰,41,North Carolina,L,粉色,春,2.9,是,门店自提,是,Yes,3,借记卡,每季
756,66,男,大衣,外套,24,Florida,M,紫罗兰色,春,3.3,是,包邮,是,Yes,22,PayPal,每周
757,62,男,腰带,配饰,99,Montana,S,橙色,夏,4.8,是,标准快递,是,Yes,24,现金,每两周
758,41,男,卫衣,服装,32,Minnesota,M,红色,秋,3.8,是,门店自提,是,Yes,18,借记卡,每季
759,66,男,鞋子,鞋履,71,Massachusetts,L,桃色,夏,4.6,是,两日达,是,Yes,39,银行转账,每三个月
760,51,男,连衣裙,服装,49,Rhode Island,XL,绿色,冬,2.6,是,次日达,是,Yes,25,信用卡,每两周
761,33,男,手套,配饰,50,Minnesota,XL,紫罗兰色,秋,3.4,是,包邮,是,Yes,6,现金,每年
762,57,男,首饰,配饰,91,Nevada,L,黄色,秋,4.2,是,快递,是,Yes,26,银行转账,每周
763,45,男,腰带,配饰,46,New Mexico,M,粉色,秋,3.9,是,标准快递,是,Yes,43,借记卡,每两周
764,61,男,毛衣,服装,50,North Carolina,M,棕色,春,2.9,是,两日达,是,Yes,6,信用卡,每月
765,55,男,半身裙,服装,39,Virginia,XL,银色,秋,4.2,是,包邮,是,Yes,6,借记卡,每季
766,54,男,运动鞋,鞋履,99,Alaska,M,粉色,夏,3.0,是,门店自提,是,Yes,13,现金,每季
767,57,男,手套,配饰,48,Nevada,M,青色,冬,3.6,是,次日达,是,Yes,13,PayPal,每月
768,27,男,大衣,外套,77,Pennsylvania,M,棕色,秋,2.5,是,次日达,是,Yes,11,现金,每年
769,64,男,双肩包,配饰,95,Illinois,XL,红色,春,2.6,是,快递,是,Yes,45,Venmo,每周
770,52,男,袜子,服装,100,Delaware,M,银色,春,4.3,是,门店自提,是,Yes,8,PayPal,每月
771,19,男,运动鞋,鞋履,54,Vermont,M,灰色,春,3.3,是,快递,是,Yes,8,信用卡,每年
772,22,男,毛衣,服装,68,Hawaii,L,青色,秋,2.6,是,次日达,是,Yes,34,银行转账,每两周
773,18,男,牛仔裤,服装,22,Illinois,L,青绿色,秋,3.6,是,包邮,是,Yes,40,借记卡,双周
774,29,男,帽子,配饰,84,California,L,靛蓝色,冬,2.6,是,快递,是,Yes,14,借记卡,双周
775,42,男,帽子,配饰,46,Nevada,M,黄色,夏,3.5,是,标准快递,是,Yes,11,信用卡,每季
776,49,男,手提包,配饰,53,Kentucky,S,金色,冬,3.0,是,门店自提,是,Yes,8,PayPal,每月
777,49,男,衬衫,服装,60,Alabama,M,栗色,春,5.0,是,标准快递,是,Yes,8,Venmo,每三个月
778,55,男,袜子,服装,32,Wyoming,XL,银色,春,2.5,是,快递,是,Yes,37,Venmo,每周
779,29,男,袜子,服装,50,Massachusetts,M,黄色,夏,2.9,是,门店自提,是,Yes,23,借记卡,每年
780,60,男,连衣裙,服装,94,Utah,M,蓝色,春,4.6,是,快递,是,Yes,38,现金,每年
781,34,男,鞋子,鞋履,26,New York,M,绿松石色,春,3.6,是,包邮,是,Yes,38,现金,每季
782,30,男,围巾,配饰,44,Vermont,L,靛蓝色,冬,3.0,是,门店自提,是,Yes,12,信用卡,每两周
783,28,男,卫衣,服装,57,Hawaii,M,绿色,夏,4.5,是,标准快递,是,Yes,15,现金,每周
784,63,男,T恤,服装,65,Louisiana,L,紫色,冬,4.5,是,次日达,是,Yes,38,PayPal,每两周
785,31,男,牛仔裤,服装,72,Alabama,M,桃色,冬,3.2,是,门店自提,是,Yes,41,银行转账,每三个月
786,46,男,短裤,服装,62,Louisiana,S,紫色,春,4.0,是,次日达,是,Yes,37,PayPal,每两周
787,70,男,帽子,配饰,21,Indiana,S,青绿色,冬,4.8,是,快递,是,Yes,16,银行转账,每三个月
788,53,男,手提包,配饰,85,Michigan,S,绿色,春,3.7,是,包邮,是,Yes,25,Venmo,每周
789,50,男,长裤,服装,51,Rhode Island,XL,黄色,夏,3.8,是,门店自提,是,Yes,18,银行转账,每季
790,33,男,手提包,配饰,84,Idaho,S,紫色,秋,2.7,是,标准快递,是,Yes,4,信用卡,双周
791,22,男,毛衣,服装,37,Louisiana,M,靛蓝色,夏,4.9,是,门店自提,是,Yes,12,银行转账,每季
792,50,男,围巾,配饰,44,North Carolina,S,品红色,夏,3.1,是,两日达,是,Yes,35,PayPal,每两周
793,34,男,运动鞋,鞋履,45,New Jersey,M,紫罗兰色,春,4.2,是,次日达,是,Yes,45,Venmo,每周
794,24,男,长裤,服装,35,Alabama,L,栗色,夏,3.8,是,包邮,是,Yes,16,信用卡,每月
795,69,男,双肩包,配饰,50,Kentucky,XL,黄色,冬,4.2,是,门店自提,是,Yes,10,借记卡,每两周
796,39,男,凉鞋,鞋履,26,New York,M,米色,夏,4.6,是,门店自提,是,Yes,34,Venmo,每年
797,42,男,袜子,服装,78,Arizona,XL,黑色,秋,4.0,是,两日达,是,Yes,43,信用卡,每年
798,42,男,大衣,外套,82,Maryland,M,紫罗兰色,秋,4.0,是,两日达,是,Yes,38,借记卡,每周
799,29,男,袜子,服装,39,Alaska,M,紫罗兰色,春,3.8,是,两日达,是,Yes,48,PayPal,每三个月
800,55,男,腰带,配饰,55,Nevada,L,棕色,夏,,是,包邮,是,Yes,31,PayPal,每年
801,32,男,袜子,服装,20,Utah,S,金色,夏,2.6,是,包邮,是,Yes,20,现金,每三个月
802,25,男,腰带,配饰,29,New Mexico,L,蓝色,秋,4.9,是,快递,是,Yes,12,信用卡,每两周
803,38,男,长裤,服装,41,Delaware,M,青绿色,冬,3.5,是,次日达,是,Yes,2,银行转账,每周
804,32,男,短裤,服装,38,Connecticut,L,银色,冬,2.8,是,快递,是,Yes,30,Venmo,每三个月
805,43,男,靴子,鞋履,47,Mississippi,M,栗色,夏,2.6,是,门店自提,是,Yes,28,Venmo,每季
806,41,男,连衣裙,服装,30,Connecticut,L,白色,夏,3.7,是,次日达,是,Yes,40,借记卡,每月
807,56,男,牛仔裤,服装,56,Florida,L,炭灰色,夏,2.7,是,标准快递,是,Yes,46,PayPal,每季
808,27,男,T恤,服装,89,New York,S,棕色,冬,3.3,是,快递,是,Yes,15,信用卡,每周
809,46,男,鞋子,鞋履,96,Wisconsin,L,薰衣草紫,秋,4.6,是,次日达,是,Yes,38,现金,每三个月
810,48,男,靴子,鞋履,81,South Carolina,M,紫罗兰色,秋,4.9,是,次日达,是,Yes,30,PayPal,双周
811,52,男,围巾,配饰,83,South Dakota,S,薰衣草紫,秋,4.9,是,门店自提,是,Yes,32,借记卡,双周
812,18,男,运动鞋,鞋履,35,Illinois,M,绿色,冬,2.7,是,包邮,是,Yes,36,Venmo,每季
813,64,男,靴子,鞋履,56,Alaska,M,橄榄绿,夏,3.2,是,标准快递,是,Yes,32,信用卡,每周
814,54,男,手提包,配饰,45,Montana,S,橄榄绿,夏,2.9,是,门店自提,是,Yes,14,借记卡,每年
815,31,男,衬衫,服装,62,Minnesota,M,粉色,冬,3.8,是,快递,是,Yes,8,PayPal,每月
816,30,男,帽子,配饰,84,West Virginia,L,青绿色,春,3.0,是,次日达,是,Yes,27,Venmo,双周
817,26,男,毛衣,服装,24,Illinois,L,青色,夏,3.9,是,门店自提,是,Yes,24,借记卡,每月
818,25,男,手提包,配饰,21,Nevada,S,灰色,春,4.7,是,门店自提,是,Yes,30,PayPal,每两周
819,59,男,衬衫,服装,91,Idaho,M,桃色,冬,4.9,是,门店自提,是,Yes,34,借记卡,每月
820,55,男,太阳镜,配饰,36,Colorado,S,青绿色,冬,4.8,是,次日达,是,Yes,28,借记卡,每季
821,56,男,运动鞋,鞋履,39,Louisiana,M,绿松石色,春,2.5,是,两日达,是,Yes,27,借记卡,每月
822,62,男,卫衣,服装,39,Vermont,M,绿色,春,3.9,是,标准快递,是,Yes,31,信用卡,双周
823,35,男,衬衫,服装,59,Mississippi,L,品红色,冬,3.4,是,标准快递,是,Yes,23,银行转账,每年
824,51,男,太阳镜,配饰,27,Georgia,M,绿色,冬,2.5,是,包邮,是,Yes,11,信用卡,每季
825,61,男,女式衬衫,服装,94,Georgia,M,白色,春,3.0,是,门店自提,是,Yes,48,现金,每季
826,27,男,腰带,配饰,94,Nebraska,XL,棕色,秋,3.6,是,次日达,是,Yes,17,现金,每月
827,54,男,连衣裙,服装,94,Massachusetts,M,紫色,冬,3.6,是,标准快递,是,Yes,36,PayPal,每周
828,31,男,鞋子,鞋履,51,Colorado,S,绿色,秋,4.1,是,包邮,是,Yes,33,银行转账,每两周
829,24,男,袜子,服装,62,Nevada,M,桃色,秋,3.7,是,两日达,是,Yes,27,PayPal,双周
830,42,男,袜子,服装,57,Idaho,S,银色,春,,是,两日达,是,Yes,14,信用卡,每两周
831,41,男,短裤,服装,76,Wyoming,M,栗色,秋,4.2,是,快递,是,Yes,5,信用卡,每年
832,66,男,手套,配饰,63,Washington,M,红色,夏,4.3,是,快递,是,Yes,47,现金,每三个月
833,58,男,夹克,外套,80,California,L,蓝色,秋,2.5,是,快递,是,Yes,28,现金,双周
834,43,男,手提包,配饰,68,Oklahoma,M,紫色,秋,3.5,是,标准快递,是,Yes,11,信用卡,每年
835,52,男,双肩包,配饰,89,Nevada,M,靛蓝色,夏,3.1,是,包邮,是,Yes,18,信用卡,每周
836,35,男,靴子,鞋履,26,Maryland,L,靛蓝色,夏,2.5,是,次日达,是,Yes,21,借记卡,每周
837,23,男,手套,配饰,90,West Virginia,L,紫罗兰色,冬,3.9,是,门店自提,是,Yes,22,现金,双周
838,25,男,卫衣,服装,28,Illinois,L,棕色,春,4.9,是,快递,是,Yes,33,现金,每三个月
839,33,男,大衣,外套,29,Kentucky,M,灰色,春,4.3,是,快递,是,Yes,49,信用卡,每年
840,48,男,衬衫,服装,31,Illinois,L,青绿色,春,2.6,是,包邮,是,Yes,10,借记卡,每三个月
841,42,男,衬衫,服装,24,Alabama,L,青绿色,夏,4.2,是,两日达,是,Yes,18,PayPal,每周
842,55,男,毛衣,服装,88,Texas,M,米色,夏,2.6,是,门店自提,是,Yes,28,PayPal,每两周
843,59,男,衬衫,服装,87,Missouri,M,紫罗兰色,春,3.6,是,快递,是,Yes,25,PayPal,每周
844,65,男,卫衣,服装,80,Pennsylvania,S,米色,夏,3.2,是,快递,是,Yes,6,PayPal,每周
845,59,男,凉鞋,鞋履,48,Missouri,L,紫色,冬,4.4,是,快递,是,Yes,44,Venmo,双周
846,31,男,腰带,配饰,21,Michigan,XL,炭灰色,冬,3.7,是,标准快递,是,Yes,30,Venmo,每月
847,49,男,靴子,鞋履,72,Kentucky,M,粉色,春,3.7,是,快递,是,Yes,42,借记卡,每季
848,53,男,卫衣,服装,44,New Jersey,L,蓝色,秋,4.1,是,标准快递,是,Yes,30,PayPal,每月
849,48,男,凉鞋,鞋履,73,Delaware,M,薰衣草紫,秋,3.6,是,门店自提,是,Yes,33,信用卡,双周
850,23,男,牛仔裤,服装,61,Missouri,S,炭灰色,春,4.3,是,快递,是,Yes,24,PayPal,每季
851,68,男,鞋子,鞋履,20,Connecticut,L,绿松石色,冬,2.6,是,门店自提,是,Yes,13,Venmo,每月
852,35,男,凉鞋,鞋履,86,Massachusetts,M,红色,夏,2.9,是,快递,是,Yes,19,借记卡,每月
853,34,男,连衣裙,服装,60,Florida,L,黄色,春,4.2,是,次日达,是,Yes,23,借记卡,每三个月
854,62,男,帽子,配饰,43,Delaware,L,橙色,冬,4.0,是,包邮,是,Yes,35,现金,每月
855,21,男,长裤,服装,44,California,L,蓝色,春,4.3,是,包邮,是,Yes,22,Venmo,每月
856,70,男,袜子,服装,76,Oregon,L,金色,春,3.0,是,两日达,是,Yes,14,信用卡,每季
857,55,男,衬衫,服装,33,Alaska,M,金色,夏,3.5,是,快递,是,Yes,47,借记卡,每两周
858,43,男,短裤,服装,60,Missouri,L,青色,秋,3.0,是,标准快递,是,Yes,50,借记卡,每三个月
859,19,男,夹克,外套,26,Oklahoma,L,橄榄绿,秋,3.1,是,包邮,是,Yes,33,PayPal,每周
860,47,男,卫衣,服装,73,Wisconsin,M,青绿色,冬,4.0,是,次日达,是,Yes,7,借记卡,每月
861,26,男,鞋子,鞋履,87,South Carolina,M,栗色,春,4.1,是,标准快递,是,Yes,3,现金,每月
862,46,男,半身裙,服装,100,Virginia,XL,绿色,春,,是,两日达,是,Yes,35,信用卡,每三个月
863,19,男,大衣,外套,84,Arkansas,M,炭灰色,冬,4.9,是,标准快递,是,Yes,13,PayPal,每两周
864,49,男,运动鞋,鞋履,41,Vermont,M,青色,夏,3.9,是,标准快递,是,Yes,42,PayPal,每两周
865,51,男,牛仔裤,服装,59,Kentucky,S,炭灰色,冬,3.9,是,次日达,是,Yes,5,PayPal,每年
866,64,男,女式衬衫,服装,26,Colorado,L,炭灰色,冬,4.8,是,门店自提,是,Yes,23,Venmo,每年
867,67,男,太阳镜,配饰,69,New Mexico,M,薰衣草紫,夏,2.7,是,包邮,是,Yes,11,PayPal,双周
868,37,男,夹克,外套,20,Colorado,M,绿松石色,春,3.1,是,包邮,是,Yes,23,银行转账,每两周
869,40,男,连衣裙,服装,83,North Carolina,M,绿色,夏,3.2,是,次日达,是,Yes,2,信用卡,每三个月
870,38,男,帽子,配饰,54,New Hampshire,M,银色,春,2.7,是,两日达,是,Yes,33,PayPal,每周
871,66,男,卫衣,服装,66,West Virginia,M,蓝色,秋,2.5,是,标准快递,是,Yes,6,银行转账,双周
872,47,男,手提包,配饰,42,Hawaii,M,炭灰色,春,2.6,是,次日达,是,Yes,45,借记卡,每季
873,56,男,牛仔裤,服装,33,North Dakota,M,粉色,春,2.9,是,标准快递,是,Yes,25,现金,每季
874,51,男,靴子,鞋履,77,Mississippi,M,粉色,夏,4.2,是,包邮,是,Yes,24,Venmo,每季
875,25,男,夹克,外套,65,Maine,M,品红色,秋,4.4,是,包邮,是,Yes,10,Venmo,每三个月
876,37,男,凉鞋,鞋履,39,North Dakota,L,灰色,夏,4.1,是,包邮,是,Yes,7,银行转账,每三个月
877,41,男,腰带,配饰,51,Nebraska,L,灰色,夏,3.8,是,两日达,是,Yes,1,借记卡,每周
878,64,男,手提包,配饰,65,Nebraska,M,橙色,冬,4.9,是,次日达,是,Yes,45,Venmo,每三个月
879,23,男,太阳镜,配饰,89,Tennessee,S,黑色,夏,4.9,是,快递,是,Yes,37,借记卡,每周
880,62,男,半身裙,服装,76,Wyoming,S,薰衣草紫,春,4.1,是,包邮,是,Yes,14,PayPal,每季
881,39,男,双肩包,配饰,75,Nevada,L,红色,春,3.1,是,快递,是,Yes,25,借记卡,每月
882,52,男,凉鞋,鞋履,61,South Carolina,M,银色,夏,2.7,是,次日达,是,Yes,18,Venmo,每年
883,50,男,靴子,鞋履,35,Virginia,M,青色,秋,3.8,是,次日达,是,Yes,37,现金,每三个月
884,28,男,运动鞋,鞋履,37,Pennsylvania,S,金色,秋,4.3,是,包邮,是,Yes,30,银行转账,每月
885,67,男,半身裙,服装,91,Hawaii,L,黄色,冬,4.1,是,快递,是,Yes,34,银行转账,每周
886,41,男,连衣裙,服装,99,Ohio,L,紫色,秋,4.4,是,包邮,是,Yes,49,借记卡,每三个月
887,19,男,短裤,服装,54,Utah,S,棕色,夏,3.6,是,快递,是,Yes,48,银行转账,每月
888,70,男,手提包,配饰,47,Minnesota,L,绿松石色,冬,3.3,是,两日达,是,Yes,33,PayPal,每两周
889,49,男,围巾,配饰,77,New Hampshire,S,金色,春,,是,快递,是,Yes,44,现金,每年
890,59,男,腰带,配饰,84,Arizona,S,橄榄绿,秋,2.8,是,包邮,是,Yes,50,Venmo,每周
891,52,男,手套,配饰,51,New York,S,紫色,春,4.3,是,两日达,是,Yes,47,信用卡,每月
892,20,男,半身裙,服装,26,Pennsylvania,S,薰衣草紫,夏,3.9,是,门店自提,是,Yes,24,PayPal,每三个月
893,31,男,短裤,服装,64,New Mexico,L,灰色,夏,2.7,是,包邮,是,Yes,43,借记卡,每月
894,33,男,双肩包,配饰,51,Nebraska,M,红色,春,4.7,是,快递,是,Yes,14,Venmo,每月
895,44,男,卫衣,服装,60,Wyoming,L,紫色,春,3.8,是,包邮,是,Yes,3,借记卡,每季
896,40,男,帽子,配饰,69,Mississippi,XL,橄榄绿,春,4.7,是,次日达,是,Yes,33,借记卡,每季
897,69,男,首饰,配饰,29,Arkansas,M,薰衣草紫,春,4.7,是,快递,是,Yes,38,现金,每两周
898,29,男,衬衫,服装,91,Illinois,M,灰色,春,3.4,是,快递,是,Yes,46,Venmo,每周
899,54,男,腰带,配饰,70,Nevada,L,红色,春,3.5,是,两日达,是,Yes,19,银行转账,每三个月
900,65,男,毛衣,服装,58,Rhode Island,M,桃色,夏,4.0,是,标准快递,是,Yes,20,PayPal,每年
901,54,男,帽子,配饰,98,West Virginia,L,灰色,秋,3.3,是,包邮,是,Yes,42,银行转账,每季
902,60,男,围巾,配饰,68,Missouri,L,紫罗兰色,夏,4.7,是,两日达,是,Yes,34,现金,每月
903,43,男,帽子,配饰,44,Kentucky,M,米色,夏,2.8,是,次日达,是,Yes,5,现金,每月
904,44,男,夹克,外套,45,Washington,M,蓝色,冬,3.3,是,快递,是,Yes,3,PayPal,每季
905,69,男,T恤,服装,99,Alaska,L,品红色,春,2.9,是,包邮,是,Yes,46,PayPal,每三个月
906,46,男,连衣裙,服装,68,Mississippi,S,青色,春,2.8,是,标准快递,是,Yes,16,Venmo,每年
907,41,男,长裤,服装,56,South Carolina,M,红色,春,4.2,是,标准快递,是,Yes,21,借记卡,双周
908,32,男,毛衣,服装,43,Missouri,L,青色,冬,4.4,是,快递,是,Yes,34,信用卡,双周
