客户ID,年龄,性别,购买商品,商品类别,消费金额(美元),所在州,尺码,颜色,季节,评分,是否订阅,配送方式,是否使用折扣,历史购买次数,支付方式,购买频率,年龄段,购买频率天数,客户类型
679,27,男,女式衬衫,服装,74,Maine,M,青绿色,秋,3.3,是,门店自提,是,25,借记卡,每三个月,青年,90,忠实客户
680,56,男,凉鞋,鞋履,95,Michigan,M,绿松石色,秋,3.4,是,快递,是,37,Venmo,每两周,中年,14,忠实客户
681,58,男,运动鞋,鞋履,25,Tennessee,M,品红色,春,4.2,是,快递,是,3,PayPal,每年,老年,365,回头客
682,30,男,衬衫,服装,59,Louisiana,XL,紫色,冬,3.8,是,两日达,是,24,信用卡,每三个月,青年,90,忠实客户
683,23,男,夹克,外套,29,Missouri,M,棕色,夏,4.0,是,标准快递,是,49,信用卡,双周,青年,14,忠实客户
684,33,男,凉鞋,鞋履,36,Michigan,S,紫罗兰色,冬,2.7,是,包邮,是,3,银行转账,每月,成年,30,回头客
685,63,男,帽子,配饰,82,Alabama,M,黄色,夏,4.7,是,快递,是,42,借记卡,每月,老年,30,忠实客户
686,70,男,女式衬衫,服装,71,Massachusetts,XL,品红色,冬,3.5,是,标准快递,是,32,现金,每两周,老年,14,忠实客户
687,70,男,毛衣,服装,35,Indiana,L,米色,秋,3.0,是,两日达,是,33,Venmo,每两周,老年,14,忠实客户
688,19,男,手套,配饰,38,West Virginia,XL,绿松石色,冬,3.3,是,包邮,是,46,银行转账,每季,青年,90,忠实客户
689,25,男,围巾,配饰,59,Michigan,S,桃色,夏,4.7,是,门店自提,是,44,Venmo,每月,青年,30,忠实客户
690,19,男,卫衣,服装,91,Pennsylvania,M,橙色,夏,4.7,是,快递,是,35,信用卡,每三个月,青年,90,忠实客户
691,25,男,短裤,服装,68,Alaska,XL,红色,春,4.8,是,标准快递,是,45,银行转账,每周,青年,7,忠实客户
692,60,男,双肩包,配饰,21,Massachusetts,L,银色,夏,2.9,是,标准快递,是,37,PayPal,双周,老年,14,忠实客户
693,35,男,太阳镜,配饰,95,North Dakota,M,青色,春,4.0,是,两日达,是,40,借记卡,每三个月,成年,90,忠实客户
694,46,男,短裤,服装,52,Vermont,L,绿松石色,春,3.1,是,包邮,是,30,现金,每三个月,中年,90,忠实客户
695,41,男,连衣裙,服装,21,Kentucky,S,炭灰色,秋,3.5,是,两日达,是,38,Venmo,每三个月,成年,90,忠实客户
696,30,男,短裤,服装,67,Nevada,XL,桃色,夏,3.7,是,次日达,是,15,借记卡,每三个月,青年,90,忠实客户
697,44,男,腰带,配饰,42,Utah,L,绿色,秋,2.8,是,标准快递,是,49,现金,每月,成年,30,忠实客户
698,61,男,围巾,配饰,63,North Dakota,XL,棕色,夏,4.6,是,包邮,是,40,借记卡,每季,老年,90,忠实客户
699,55,男,靴子,鞋履,41,Iowa,M,黄色,冬,3.8,是,标准快递,是,40,借记卡,每周,中年,7,忠实客户
700,50,男,手提包,配饰,46,Connecticut,M,炭灰色,秋,2.6,是,两日达,是,5,PayPal,每周,中年,7,回头客
701,57,男,长裤,服装,79,Wisconsin,L,橄榄绿,冬,4.1,是,标准快递,是,5,PayPal,每月,中年,30,回头客
702,51,男,靴子,鞋履,90,Idaho,L,红色,秋,3.3,是,次日达,是,5,借记卡,每三个月,中年,90,回头客
703,18,男,衬衫,服装,71,Montana,M,白色,冬,3.4,是,门店自提,是,1,现金,每周,青年,7,新客户
704,63,男,连衣裙,服装,87,Connecticut,L,粉色,夏,3.0,是,标准快递,是,21,Venmo,每周,老年,7,忠实客户
705,34,男,卫衣,服装,66,Idaho,S,黑色,春,3.2,是,快递,是,18,PayPal,每年,成年,365,忠实客户
706,25,男,长裤,服装,90,Arkansas,XL,靛蓝色,夏,4.5,是,包邮,是,49,现金,每季,青年,90,忠实客户
707,46,男,牛仔裤,服装,47,Iowa,L,绿松石色,夏,4.8,是,快递,是,27,借记卡,每周,中年,7,忠实客户
708,59,男,衬衫,服装,38,Louisiana,L,紫色,春,3.7,是,次日达,是,21,Venmo,每年,老年,365,忠实客户
709,37,男,双肩包,配饰,50,Kentucky,L,米色,夏,3.4,是,门店自提,是,19,现金,每两周,成年,14,忠实客户
710,49,男,夹克,外套,79,Massachusetts,L,炭灰色,夏,4.6,是,标准快递,是,23,借记卡,每月,中年,30,忠实客户
711,22,男,围巾,配饰,91,Virginia,L,绿松石色,春,4.1,是,标准快递,是,26,PayPal,每两周,青年,14,忠实客户
712,64,男,靴子,鞋履,60,New Hampshire,M,栗色,春,3.5,是,两日达,是,13,银行转账,双周,老年,14,忠实客户
713,42,男,女式衬衫,服装,81,New Hampshire,XL,黑色,夏,3.8,是,次日达,是,36,银行转账,每季,成年,90,忠实客户
714,37,男,卫衣,服装,90,Oregon,M,薰衣草紫,夏,2.6,是,快递,是,39,银行转账,双周,成年,14,忠实客户
715,26,男,夹克,外套,70,South Dakota,M,品红色,秋,4.4,是,门店自提,是,40,借记卡,每两周,青年,14,忠实客户
716,33,男,牛仔裤,服装,63,Delaware,L,绿色,春,2.6,是,快递,是,37,借记卡,每季,成年,90,忠实客户
717,30,男,首饰,配饰,29,Missouri,M,橄榄绿,春,3.6,是,快递,是,9,Venmo,双周,青年,14,回头客
718,21,男,袜子,服装,90,Alaska,L,绿色,春,4.2,是,快递,是,7,Venmo,每三个月,青年,90,回头客
719,22,男,衬衫,服装,22,Florida,M,桃色,夏,4.6,是,标准快递,是,25,银行转账,每年,青年,365,忠实客户
720,63,男,短裤,服装,22,Mississippi,L,绿松石色,夏,3.3,是,次日达,是,42,Venmo,双周,老年,14,忠实客户
721,33,男,首饰,配饰,62,New Mexico,L,橙色,秋,3.4,是,包邮,是,19,借记卡,每周,成年,7,忠实客户
722,43,男,女式衬衫,服装,57,California,L,银色,夏,4.4,是,次日达,是,41,借记卡,每三个月,成年,90,忠实客户
723,27,男,毛衣,服装,32,Wyoming,S,蓝色,夏,4.3,是,门店自提,是,50,现金,双周,青年,14,忠实客户
724,35,男,首饰,配饰,53,Missouri,L,青色,秋,3.5,是,快递,是,43,PayPal,每月,成年,30,忠实客户
725,37,男,T恤,服装,79,New Hampshire,XL,绿色,秋,4.7,是,门店自提,是,36,Venmo,每三个月,成年,90,忠实客户
726,61,男,帽子,配饰,61,Texas,L,银色,冬,3.1,是,标准快递,是,33,借记卡,每两周,老年,14,忠实客户
727,32,男,短裤,服装,78,North Dakota,L,黄色,夏,3.6,是,次日达,是,20,银行转账,每三个月,成年,90,忠实客户
728,62,男,毛衣,服装,97,Arkansas,S,灰色,冬,4.8,是,次日达,是,37,Venmo,每三个月,老年,90,忠实客户
729,29,男,牛仔裤,服装,78,Nebraska,M,粉色,冬,3.7,是,次日达,是,12,PayPal,每三个月,青年,90,忠实客户
730,41,男,太阳镜,配饰,56,Minnesota,L,米色,夏,3.2,是,快递,是,46,PayPal,每三个月,成年,90,忠实客户
731,48,男,靴子,鞋履,25,Massachusetts,M,靛蓝色,夏,3.9,是,标准快递,是,28,Venmo,每两周,中年,14,忠实客户
732,43,男,大衣,外套,28,Arkansas,M,红色,春,3.5,是,包邮,是,30,PayPal,每两周,成年,14,忠实客户
733,34,男,衬衫,服装,57,New Hampshire,L,蓝色,春,2.8,是,快递,是,28,现金,双周,成年,14,忠实客户
734,45,男,连衣裙,服装,36,Rhode Island,L,青色,秋,2.7,是,两日达,是,20,借记卡,双周,中年,14,忠实客户
735,65,男,衬衫,服装,69,New Jersey,S,紫罗兰色,冬,3.1,是,快递,是,39,银行转账,每三个月,老年,90,忠实客户
736,61,男,太阳镜,配饰,48,Montana,M,橙色,秋,3.6,是,两日达,是,48,现金,双周,老年,14,忠实客户
737,18,男,连衣裙,服装,58,Colorado,L,栗色,春,2.9,是,两日达,是,32,信用卡,每三个月,青年,90,忠实客户
738,47,男,太阳镜,配饰,24,Nebraska,M,青绿色,春,3.6,是,门店自提,是,28,PayPal,每年,中年,365,忠实客户
739,56,男,太阳镜,配饰,31,Minnesota,L,橙色,冬,3.5,是,两日达,是,27,Venmo,每季,中年,90,忠实客户
740,64,男,短裤,服装,29,Minnesota,S,紫色,夏,3.5,是,包邮,是,26,Venmo,双周,老年,14,忠实客户
741,26,男,牛仔裤,服装,69,South Dakota,M,橙色,夏,2.8,是,次日达,是,22,信用卡,每两周,青年,14,忠实客户
742,22,男,T恤,服装,79,West Virginia,XL,黄色,夏,4.7,是,包邮,是,23,银行转账,每三个月,青年,90,忠实客户
743,64,男,长裤,服装,39,Nevada,M,炭灰色,夏,3.1,是,快递,是,21,借记卡,每季,老年,90,忠实客户
744,21,男,太阳镜,配饰,84,North Carolina,L,灰色,秋,4.9,是,包邮,是,36,现金,每周,青年,7,忠实客户
745,67,男,靴子,鞋履,66,Illinois,S,炭灰色,春,4.1,是,次日达,是,42,借记卡,双周,老年,14,忠实客户
746,46,男,T恤,服装,92,Michigan,L,橙色,秋,4.7,是,标准快递,是,4,Venmo,每月,中年,30,回头客
747,40,男,凉鞋,鞋履,45,Michigan,M,红色,冬,2.5,是,包邮,是,47,信用卡,每年,成年,365,忠实客户
748,51,男,短裤,服装,74,Oklahoma,L,金色,春,4.4,是,次日达,是,13,银行转账,每周,中年,7,忠实客户
749,35,男,帽子,配饰,39,South Dakota,L,棕色,秋,3.9,是,包邮,是,8,银行转账,每季,成年,90,回头客
750,56,男,围巾,配饰,71,Oklahoma,M,橄榄绿,冬,3.7,是,标准快递,是,11,借记卡,每季,中年,90,忠实客户
751,25,男,T恤,服装,95,Maryland,L,紫罗兰色,秋,3.4,是,包邮,是,5,Venmo,每年,青年,365,回头客
752,65,男,手套,配饰,72,Ohio,L,靛蓝色,秋,4.8,是,包邮,是,1,信用卡,每月,老年,30,新客户
753,39,男,围巾,配饰,85,Ohio,L,黄色,秋,4.2,是,两日达,是,17,PayPal,每三个月,成年,90,忠实客户
754,47,男,靴子,鞋履,54,Massachusetts,M,青绿色,秋,3.4,是,门店自提,是,27,Venmo,每季,中年,90,忠实客户
755,36,男,手套,配饰,41,North Carolina,L,粉色,春,2.9,是,门店自提,是,3,借记卡,每季,成年,90,回头客
756,66,男,大衣,外套,24,Florida,M,紫罗兰色,春,3.3,是,包邮,是,22,PayPal,每周,老年,7,忠实客户
757,62,男,腰带,配饰,99,Montana,S,橙色,夏,4.8,是,标准快递,是,24,现金,每两周,老年,14,忠实客户
758,41,男,卫衣,服装,32,Minnesota,M,红色,秋,3.8,是,门店自提,是,18,借记卡,每季,成年,90,忠实客户
759,66,男,鞋子,鞋履,71,Massachusetts,L,桃色,夏,4.6,是,两日达,是,39,银行转账,每三个月,老年,90,忠实客户
760,51,男,连衣裙,服装,49,Rhode Island,XL,绿色,冬,2.6,是,次日达,是,25,信用卡,每两周,中年,14,忠实客户
761,33,男,手套,配饰,50,Minnesota,XL,紫罗兰色,秋,3.4,是,包邮,是,6,现金,每年,成年,365,回头客
762,57,男,首饰,配饰,91,Nevada,L,黄色,秋,4.2,是,快递,是,26,银行转账,每周,中年,7,忠实客户
763,45,男,腰带,配饰,46,New Mexico,M,粉色,秋,3.9,是,标准快递,是,43,借记卡,每两周,中年,14,忠实客户
764,61,男,毛衣,服装,50,North Carolina,M,棕色,春,2.9,是,两日达,是,6,信用卡,每月,老年,30,回头客
765,55,男,半身裙,服装,39,Virginia,XL,银色,秋,4.2,是,包邮,是,6,借记卡,每季,中年,90,回头客
766,54,男,运动鞋,鞋履,99,Alaska,M,粉色,夏,3.0,是,门店自提,是,13,现金,每季,中年,90,忠实客户
767,57,男,手套,配饰,48,Nevada,M,青色,冬,3.6,是,次日达,是,13,PayPal,每月,中年,30,忠实客户
768,27,男,大衣,外套,77,Pennsylvania,M,棕色,秋,2.5,是,次日达,是,11,现金,每年,青年,365,忠实客户
769,64,男,双肩包,配饰,95,Illinois,XL,红色,春,2.6,是,快递,是,45,Venmo,每周,老年,7,忠实客户
770,52,男,袜子,服装,100,Delaware,M,银色,春,4.3,是,门店自提,是,8,PayPal,每月,中年,30,回头客
771,19,男,运动鞋,鞋履,54,Vermont,M,灰色,春,3.3,是,快递,是,8,信用卡,每年,青年,365,回头客
772,22,男,毛衣,服装,68,Hawaii,L,青色,秋,2.6,是,次日达,是,34,银行转账,每两周,青年,14,忠实客户
773,18,男,牛仔裤,服装,22,Illinois,L,青绿色,秋,3.6,是,包邮,是,40,借记卡,双周,青年,14,忠实客户
774,29,男,帽子,配饰,84,California,L,靛蓝色,冬,2.6,是,快递,是,14,借记卡,双周,青年,14,忠实客户
775,42,男,帽子,配饰,46,Nevada,M,黄色,夏,3.5,是,标准快递,是,11,信用卡,每季,成年,90,忠实客户
776,49,男,手提包,配饰,53,Kentucky,S,金色,冬,3.0,是,门店自提,是,8,PayPal,每月,中年,30,回头客
777,49,男,衬衫,服装,60,Alabama,M,栗色,春,5.0,是,标准快递,是,8,Venmo,每三个月,中年,90,回头客
778,55,男,袜子,服装,32,Wyoming,XL,银色,春,2.5,是,快递,是,37,Venmo,每周,中年,7,忠实客户
779,29,男,袜子,服装,50,Massachusetts,M,黄色,夏,2.9,是,门店自提,是,23,借记卡,每年,青年,365,忠实客户
780,60,男,连衣裙,服装,94,Utah,M,蓝色,春,4.6,是,快递,是,38,现金,每年,老年,365,忠实客户
781,34,男,鞋子,鞋履,26,New York,M,绿松石色,春,3.6,是,包邮,是,38,现金,每季,成年,90,忠实客户
782,30,男,围巾,配饰,44,Vermont,L,靛蓝色,冬,3.0,是,门店自提,是,12,信用卡,每两周,青年,14,忠实客户
783,28,男,卫衣,服装,57,Hawaii,M,绿色,夏,4.5,是,标准快递,是,15,现金,每周,青年,7,忠实客户
784,63,男,T恤,服装,65,Louisiana,L,紫色,冬,4.5,是,次日达,是,38,PayPal,每两周,老年,14,忠实客户
785,31,男,牛仔裤,服装,72,Alabama,M,桃色,冬,3.2,是,门店自提,是,41,银行转账,每三个月,青年,90,忠实客户
786,46,男,短裤,服装,62,Louisiana,S,紫色,春,4.0,是,次日达,是,37,PayPal,每两周,中年,14,忠实客户
787,70,男,帽子,配饰,21,Indiana,S,青绿色,冬,4.8,是,快递,是,16,银行转账,每三个月,老年,90,忠实客户
788,53,男,手提包,配饰,85,Michigan,S,绿色,春,3.7,是,包邮,是,25,Venmo,每周,中年,7,忠实客户
789,50,男,长裤,服装,51,Rhode Island,XL,黄色,夏,3.8,是,门店自提,是,18,银行转账,每季,中年,90,忠实客户
790,33,男,手提包,配饰,84,Idaho,S,紫色,秋,2.7,是,标准快递,是,4,信用卡,双周,成年,14,回头客
791,22,男,毛衣,服装,37,Louisiana,M,靛蓝色,夏,4.9,是,门店自提,是,12,银行转账,每季,青年,90,忠实客户
792,50,男,围巾,配饰,44,North Carolina,S,品红色,夏,3.1,是,两日达,是,35,PayPal,每两周,中年,14,忠实客户
793,34,男,运动鞋,鞋履,45,New Jersey,M,紫罗兰色,春,4.2,是,次日达,是,45,Venmo,每周,成年,7,忠实客户
794,24,男,长裤,服装,35,Alabama,L,栗色,夏,3.8,是,包邮,是,16,信用卡,每月,青年,30,忠实客户
795,69,男,双肩包,配饰,50,Kentucky,XL,黄色,冬,4.2,是,门店自提,是,10,借记卡,每两周,老年,14,回头客
796,39,男,凉鞋,鞋履,26,New York,M,米色,夏,4.6,是,门店自提,是,34,Venmo,每年,成年,365,忠实客户
797,42,男,袜子,服装,78,Arizona,XL,黑色,秋,4.0,是,两日达,是,43,信用卡,每年,成年,365,忠实客户
798,42,男,大衣,外套,82,Maryland,M,紫罗兰色,秋,4.0,是,两日达,是,38,借记卡,每周,成年,7,忠实客户
799,29,男,袜子,服装,39,Alaska,M,紫罗兰色,春,3.8,是,两日达,是,48,PayPal,每三个月,青年,90,忠实客户
800,55,男,腰带,配饰,55,Nevada,L,棕色,夏,3.8,是,包邮,是,31,PayPal,每年,中年,365,忠实客户
801,32,男,袜子,服装,20,Utah,S,金色,夏,2.6,是,包邮,是,20,现金,每三个月,成年,90,忠实客户
802,25,男,腰带,配饰,29,New Mexico,L,蓝色,秋,4.9,是,快递,是,12,信用卡,每两周,青年,14,忠实客户
803,38,男,长裤,服装,41,Delaware,M,青绿色,冬,3.5,是,次日达,是,2,银行转账,每周,成年,7,回头客
804,32,男,短裤,服装,38,Connecticut,L,银色,冬,2.8,是,快递,是,30,Venmo,每三个月,成年,90,忠实客户
805,43,男,靴子,鞋履,47,Mississippi,M,栗色,夏,2.6,是,门店自提,是,28,Venmo,每季,成年,90,忠实客户
806,41,男,连衣裙,服装,30,Connecticut,L,白色,夏,3.7,是,次日达,是,40,借记卡,每月,成年,30,忠实客户
807,56,男,牛仔裤,服装,56,Florida,L,炭灰色,夏,2.7,是,标准快递,是,46,PayPal,每季,中年,90,忠实客户
808,27,男,T恤,服装,89,New York,S,棕色,冬,3.3,是,快递,是,15,信用卡,每周,青年,7,忠实客户
809,46,男,鞋子,鞋履,96,Wisconsin,L,薰衣草紫,秋,4.6,是,次日达,是,38,现金,每三个月,中年,90,忠实客户
810,48,男,靴子,鞋履,81,South Carolina,M,紫罗兰色,秋,4.9,是,次日达,是,30,PayPal,双周,中年,14,忠实客户
811,52,男,围巾,配饰,83,South Dakota,S,薰衣草紫,秋,4.9,是,门店自提,是,32,借记卡,双周,中年,14,忠实客户
812,18,男,运动鞋,鞋履,35,Illinois,M,绿色,冬,2.7,是,包邮,是,36,Venmo,每季,青年,90,忠实客户
813,64,男,靴子,鞋履,56,Alaska,M,橄榄绿,夏,3.2,是,标准快递,是,32,信用卡,每周,老年,7,忠实客户
814,54,男,手提包,配饰,45,Montana,S,橄榄绿,夏,2.9,是,门店自提,是,14,借记卡,每年,中年,365,忠实客户
815,31,男,衬衫,服装,62,Minnesota,M,粉色,冬,3.8,是,快递,是,8,PayPal,每月,青年,30,回头客
816,30,男,帽子,配饰,84,West Virginia,L,青绿色,春,3.0,是,次日达,是,27,Venmo,双周,青年,14,忠实客户
817,26,男,毛衣,服装,24,Illinois,L,青色,夏,3.9,是,门店自提,是,24,借记卡,每月,青年,30,忠实客户
818,25,男,手提包,配饰,21,Nevada,S,灰色,春,4.7,是,门店自提,是,30,PayPal,每两周,青年,14,忠实客户
819,59,男,衬衫,服装,91,Idaho,M,桃色,冬,4.9,是,门店自提,是,34,借记卡,每月,老年,30,忠实客户
820,55,男,太阳镜,配饰,36,Colorado,S,青绿色,冬,4.8,是,次日达,是,28,借记卡,每季,中年,90,忠实客户
821,56,男,运动鞋,鞋履,39,Louisiana,M,绿松石色,春,2.5,是,两日达,是,27,借记卡,每月,中年,30,忠实客户
822,62,男,卫衣,服装,39,Vermont,M,绿色,春,3.9,是,标准快递,是,31,信用卡,双周,老年,14,忠实客户
823,35,男,衬衫,服装,59,Mississippi,L,品红色,冬,3.4,是,标准快递,是,23,银行转账,每年,成年,365,忠实客户
824,51,男,太阳镜,配饰,27,Georgia,M,绿色,冬,2.5,是,包邮,是,11,信用卡,每季,中年,90,忠实客户
825,61,男,女式衬衫,服装,94,Georgia,M,白色,春,3.0,是,门店自提,是,48,现金,每季,老年,90,忠实客户
826,27,男,腰带,配饰,94,Nebraska,XL,棕色,秋,3.6,是,次日达,是,17,现金,每月,青年,30,忠实客户
827,54,男,连衣裙,服装,94,Massachusetts,M,紫色,冬,3.6,是,标准快递,是,36,PayPal,每周,中年,7,忠实客户
828,31,男,鞋子,鞋履,51,Colorado,S,绿色,秋,4.1,是,包邮,是,33,银行转账,每两周,青年,14,忠实客户
829,24,男,袜子,服装,62,Nevada,M,桃色,秋,3.7,是,两日达,是,27,PayPal,双周,青年,14,忠实客户
830,42,男,袜子,服装,57,Idaho,S,银色,春,3.7,是,两日达,是,14,信用卡,每两周,成年,14,忠实客户
831,41,男,短裤,服装,76,Wyoming,M,栗色,秋,4.2,是,快递,是,5,信用卡,每年,成年,365,回头客
832,66,男,手套,配饰,63,Washington,M,红色,夏,4.3,是,快递,是,47,现金,每三个月,老年,90,忠实客户
833,58,男,夹克,外套,80,California,L,蓝色,秋,2.5,是,快递,是,28,现金,双周,老年,14,忠实客户
834,43,男,手提包,配饰,68,Oklahoma,M,紫色,秋,3.5,是,标准快递,是,11,信用卡,每年,成年,365,忠实客户
835,52,男,双肩包,配饰,89,Nevada,M,靛蓝色,夏,3.1,是,包邮,是,18,信用卡,每周,中年,7,忠实客户
836,35,男,靴子,鞋履,26,Maryland,L,靛蓝色,夏,2.5,是,次日达,是,21,借记卡,每周,成年,7,忠实客户
837,23,男,手套,配饰,90,West Virginia,L,紫罗兰色,冬,3.9,是,门店自提,是,22,现金,双周,青年,14,忠实客户
838,25,男,卫衣,服装,28,Illinois,L,棕色,春,4.9,是,快递,是,33,现金,每三个月,青年,90,忠实客户
839,33,男,大衣,外套,29,Kentucky,M,灰色,春,4.3,是,快递,是,49,信用卡,每年,成年,365,忠实客户
840,48,男,衬衫,服装,31,Illinois,L,青绿色,春,2.6,是,包邮,是,10,借记卡,每三个月,中年,90,回头客
841,42,男,衬衫,服装,24,Alabama,L,青绿色,夏,4.2,是,两日达,是,18,PayPal,每周,成年,7,忠实客户
842,55,男,毛衣,服装,88,Texas,M,米色,夏,2.6,是,门店自提,是,28,PayPal,每两周,中年,14,忠实客户
843,59,男,衬衫,服装,87,Missouri,M,紫罗兰色,春,3.6,是,快递,是,25,PayPal,每周,老年,7,忠实客户
844,65,男,卫衣,服装,80,Pennsylvania,S,米色,夏,3.2,是,快递,是,6,PayPal,每周,老年,7,回头客
845,59,男,凉鞋,鞋履,48,Missouri,L,紫色,冬,4.4,是,快递,是,44,Venmo,双周,老年,14,忠实客户
846,31,男,腰带,配饰,21,Michigan,XL,炭灰色,冬,3.7,是,标准快递,是,30,Venmo,每月,青年,30,忠实客户
847,49,男,靴子,鞋履,72,Kentucky,M,粉色,春,3.7,是,快递,是,42,借记卡,每季,中年,90,忠实客户
848,53,男,卫衣,服装,44,New Jersey,L,蓝色,秋,4.1,是,标准快递,是,30,PayPal,每月,中年,30,忠实客户
849,48,男,凉鞋,鞋履,73,Delaware,M,薰衣草紫,秋,3.6,是,门店自提,是,33,信用卡,双周,中年,14,忠实客户
850,23,男,牛仔裤,服装,61,Missouri,S,炭灰色,春,4.3,是,快递,是,24,PayPal,每季,青年,90,忠实客户
851,68,男,鞋子,鞋履,20,Connecticut,L,绿松石色,冬,2.6,是,门店自提,是,13,Venmo,每月,老年,30,忠实客户
852,35,男,凉鞋,鞋履,86,Massachusetts,M,红色,夏,2.9,是,快递,是,19,借记卡,每月,成年,30,忠实客户
853,34,男,连衣裙,服装,60,Florida,L,黄色,春,4.2,是,次日达,是,23,借记卡,每三个月,成年,90,忠实客户
854,62,男,帽子,配饰,43,Delaware,L,橙色,冬,4.0,是,包邮,是,35,现金,每月,老年,30,忠实客户
855,21,男,长裤,服装,44,California,L,蓝色,春,4.3,是,包邮,是,22,Venmo,每月,青年,30,忠实客户
856,70,男,袜子,服装,76,Oregon,L,金色,春,3.0,是,两日达,是,14,信用卡,每季,老年,90,忠实客户
857,55,男,衬衫,服装,33,Alaska,M,金色,夏,3.5,是,快递,是,47,借记卡,每两周,中年,14,忠实客户
858,43,男,短裤,服装,60,Missouri,L,青色,秋,3.0,是,标准快递,是,50,借记卡,每三个月,成年,90,忠实客户
859,19,男,夹克,外套,26,Oklahoma,L,橄榄绿,秋,3.1,是,包邮,是,33,PayPal,每周,青年,7,忠实客户
860,47,男,卫衣,服装,73,Wisconsin,M,青绿色,冬,4.0,是,次日达,是,7,借记卡,每月,中年,30,回头客
861,26,男,鞋子,鞋履,87,South Carolina,M,栗色,春,4.1,是,标准快递,是,3,现金,每月,青年,30,回头客
862,46,男,半身裙,服装,100,Virginia,XL,绿色,春,3.7,是,两日达,是,35,信用卡,每三个月,中年,90,忠实客户
863,19,男,大衣,外套,84,Arkansas,M,炭灰色,冬,4.9,是,标准快递,是,13,PayPal,每两周,青年,14,忠实客户
864,49,男,运动鞋,鞋履,41,Vermont,M,青色,夏,3.9,是,标准快递,是,42,PayPal,每两周,中年,14,忠实客户
865,51,男,牛仔裤,服装,59,Kentucky,S,炭灰色,冬,3.9,是,次日达,是,5,PayPal,每年,中年,365,回头客
866,64,男,女式衬衫,服装,26,Colorado,L,炭灰色,冬,4.8,是,门店自提,是,23,Venmo,每年,老年,365,忠实客户
867,67,男,太阳镜,配饰,69,New Mexico,M,薰衣草紫,夏,2.7,是,包邮,是,11,PayPal,双周,老年,14,忠实客户
868,37,男,夹克,外套,20,Colorado,M,绿松石色,春,3.1,是,包邮,是,23,银行转账,每两周,成年,14,忠实客户
869,40,男,连衣裙,服装,83,North Carolina,M,绿色,夏,3.2,是,次日达,是,2,信用卡,每三个月,成年,90,回头客
870,38,男,帽子,配饰,54,New Hampshire,M,银色,春,2.7,是,两日达,是,33,PayPal,每周,成年,7,忠实客户
871,66,男,卫衣,服装,66,West Virginia,M,蓝色,秋,2.5,是,标准快递,是,6,银行转账,双周,老年,14,回头客
872,47,男,手提包,配饰,42,Hawaii,M,炭灰色,春,2.6,是,次日达,是,45,借记卡,每季,中年,90,忠实客户
873,56,男,牛仔裤,服装,33,North Dakota,M,粉色,春,2.9,是,标准快递,是,25,现金,每季,中年,90,忠实客户
874,51,男,靴子,鞋履,77,Mississippi,M,粉色,夏,4.2,是,包邮,是,24,Venmo,每季,中年,90,忠实客户
875,25,男,夹克,外套,65,Maine,M,品红色,秋,4.4,是,包邮,是,10,Venmo,每三个月,青年,90,回头客
876,37,男,凉鞋,鞋履,39,North Dakota,L,灰色,夏,4.1,是,包邮,是,7,银行转账,每三个月,成年,90,回头客
877,41,男,腰带,配饰,51,Nebraska,L,灰色,夏,3.8,是,两日达,是,1,借记卡,每周,成年,7,新客户
878,64,男,手提包,配饰,65,Nebraska,M,橙色,冬,4.9,是,次日达,是,45,Venmo,每三个月,老年,90,忠实客户
879,23,男,太阳镜,配饰,89,Tennessee,S,黑色,夏,4.9,是,快递,是,37,借记卡,每周,青年,7,忠实客户
880,62,男,半身裙,服装,76,Wyoming,S,薰衣草紫,春,4.1,是,包邮,是,14,PayPal,每季,老年,90,忠实客户
881,39,男,双肩包,配饰,75,Nevada,L,红色,春,3.1,是,快递,是,25,借记卡,每月,成年,30,忠实客户
882,52,男,凉鞋,鞋履,61,South Carolina,M,银色,夏,2.7,是,次日达,是,18,Venmo,每年,中年,365,忠实客户
883,50,男,靴子,鞋履,35,Virginia,M,青色,秋,3.8,是,次日达,是,37,现金,每三个月,中年,90,忠实客户
884,28,男,运动鞋,鞋履,37,Pennsylvania,S,金色,秋,4.3,是,包邮,是,30,银行转账,每月,青年,30,忠实客户
885,67,男,半身裙,服装,91,Hawaii,L,黄色,冬,4.1,是,快递,是,34,银行转账,每周,老年,7,忠实客户
886,41,男,连衣裙,服装,99,Ohio,L,紫色,秋,4.4,是,包邮,是,49,借记卡,每三个月,成年,90,忠实客户
887,19,男,短裤,服装,54,Utah,S,棕色,夏,3.6,是,快递,是,48,银行转账,每月,青年,30,忠实客户
888,70,男,手提包,配饰,47,Minnesota,L,绿松石色,冬,3.3,是,两日达,是,33,PayPal,每两周,老年,14,忠实客户
889,49,男,围巾,配饰,77,New Hampshire,S,金色,春,3.8,是,快递,是,44,现金,每年,中年,365,忠实客户
890,59,男,腰带,配饰,84,Arizona,S,橄榄绿,秋,2.8,是,包邮,是,50,Venmo,每周,老年,7,忠实客户
891,52,男,手套,配饰,51,New York,S,紫色,春,4.3,是,两日达,是,47,信用卡,每月,中年,30,忠实客户
892,20,男,半身裙,服装,26,Pennsylvania,S,薰衣草紫,夏,3.9,是,门店自提,是,24,PayPal,每三个月,青年,90,忠实客户
893,31,男,短裤,服装,64,New Mexico,L,灰色,夏,2.7,是,包邮,是,43,借记卡,每月,青年,30,忠实客户
